"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Your Store","Login","","0","0","2","0","0"
"Your Store","Add new addresses","","0","0","3","0","0"
"Your Store","Saving datas","","0","0","1","0","0"
"Your Store","Input new data","","0","0","1","0","0"
"Your Store","Register","","0","0","2","0","0"
"Your Store","Listing Data","","0","0","1","0","0"
"Your Store","Register with Privacy Policy check","","0","0","1","0","0"
"Your Store","Pagination","","0","0","1","0","0"
"Your Store","Logout","","0","0","1","0","0"
"Your Store","Existing data modification","","0","0","1","0","0"
"Your Store","Deleting data","","0","0","1","0","0"
